V	J	I	P1	P2	I_srh	I_rad	I_aug
0	3.94282685569463e-05	1.18284805670839e-07	3.15480412149649e-23	3.20272468872686e-26	5.69545846689797e-22	1.28624721351303e-24	6.16091417338502e-31
0.05	1.51989731488698	0.00455969194466094	9.61511741939663e-24	9.76116828752646e-27	5.30827907781123e-17	1.25583850021395e-19	2.31273787341346e-25
0.1	1.44328445383834	0.00432985336151502	6.39819504319926e-23	6.49538178567607e-26	3.35121372873756e-16	8.3574051482463e-19	2.07533199717967e-24
0.15	1.44391326305376	0.00433173978916128	3.74447967045238e-22	3.80135723967071e-25	1.84748961436413e-15	4.89149086634667e-18	1.5917371180794e-23
0.2	1.92657278233342	0.00577971834700025	2.14848204141927e-21	2.18111686568856e-24	9.93573242938146e-15	2.80685797026503e-17	1.16296814940912e-22
0.25	1.83259246327131	0.00549777738981393	1.23153670333868e-20	1.25024339165155e-23	5.32585685987501e-14	1.60910413737591e-16	8.25096280074237e-22
0.3	1.37173566175284	0.00411520698525851	7.09076748649427e-20	7.19847420518915e-23	2.86886721818284e-13	9.26584072381943e-16	5.72039664188636e-21
0.35	1.37177222296743	0.0041153166689023	4.10937831798752e-19	4.17179859271087e-22	1.56010330062236e-12	5.37064798611376e-15	3.88911669057379e-20
0.4	1.37176204753781	0.00411528614261344	2.39878608046583e-18	2.43522295109655e-21	8.58744759665019e-12	3.135501673667e-14	2.59943712096087e-19
0.45	1.37176966757667	0.00411530900273002	1.41032514125366e-17	1.43174757451588e-20	4.79052959076438e-11	1.84376556225021e-13	1.71172192362186e-18
0.5	1.37172147454979	0.00411516442364937	8.34808363493803e-17	8.47488862430232e-20	2.70906157335592e-10	1.0915665407372e-12	1.1126768990978e-17
0.55	1.37112672722143	0.00411338018166429	4.97236603191009e-16	5.04789484179802e-19	1.5523013541996e-09	6.50293609360267e-12	7.15364634583104e-17
0.6	1.44330439876265	0.00432991319628795	2.97868559497111e-15	3.02393097243824e-18	9.00442321114582e-09	3.89636600952093e-11	4.55832587547595e-16
0.65	1.44397130749875	0.00433191392249625	1.79438747714772e-14	1.82164370682933e-17	5.28090029469813e-08	2.34771744986555e-10	2.88787226865752e-15
0.7	1.44401677817929	0.00433205033453787	1.08952156290782e-13	1.10607108208352e-16	3.12597014677139e-07	1.42581565500531e-09	1.83763724765705e-14
