V	J	I	P1	P2	I_srh	I_rad	I_aug	FCA
0	5.87782086066839e-05	2.9389104303342e-07	9.99430522868008e-25	1.01461158505721e-27	6.34580107823165e-22	1.43154232479082e-24	8.54706989633264e-32	0.138129532261311
0.05	0.0362524714130489	0.000181262357065244	1.5838498467299e-23	1.60790807035965e-26	8.84725250045435e-17	2.09309339756304e-19	3.85462494575372e-25	0.138362309144545
0.1	0.034280194251498	0.00017140097125749	1.0539286985118e-22	1.06993757231443e-25	5.58541712569093e-16	1.39291654084723e-18	3.45893176165178e-24	0.138611964784093
0.15	0.0343055288522675	0.000171527644261338	6.16787579401414e-22	6.26156405333956e-25	3.07918206122729e-15	8.15257457215139e-18	2.652928672582e-23	0.138879327723402
0.2	0.000576995222338738	2.88497611169369e-06	3.53887389153964e-21	3.59262836811199e-24	1.65597944281811e-14	4.67816720342261e-17	1.93831328958764e-22	0.139165128241056
0.25	-8.20464656770478e-05	-4.10232328385239e-07	2.02848127954332e-20	2.05929332675397e-23	8.87656221809839e-14	2.68188236928076e-16	1.375184528567e-21	0.139469974825854
0.3	0.032728397980896	0.00016364198990448	1.16789740552615e-19	1.18563743120899e-22	4.78149522771607e-13	1.54432351569992e-15	9.5341077815974e-21	0.139794340958302
0.35	0.0324304317995985	0.000162152158997993	6.76823236284862e-19	6.8710398657819e-22	2.60019968860943e-12	8.95117813537731e-15	6.48193814079241e-20	0.140138569189585
0.4	0.0324244190353095	0.000162122095176548	3.95073205037139e-18	4.010742533919e-21	1.4312564719426e-11	5.22589344764684e-14	4.3324460378172e-19	0.140502890578999
0.45	0.032393500779493	0.000161967503897465	2.32269127744775e-17	2.35797228990678e-20	7.98430127234213e-11	3.07297636182002e-13	2.8529030202693e-18	0.140887458931389
0.5	0.0317306732130643	0.000158653366065322	1.37481580676398e-16	1.39569886344839e-19	4.51515120624283e-10	1.81929761773085e-12	1.85448289882678e-17	0.141292394284605
0.55	0.0323900746593626	0.000161950373296813	8.18852278083235e-16	8.31290408671519e-19	2.58719704112088e-09	1.08383469875744e-11	1.19228811272665e-16	0.14171783504114
0.6	0.0342210904875935	0.000171105452437967	4.90513703293411e-15	4.97964465366379e-18	1.50075447528015e-08	6.49401933234494e-11	7.59730140106408e-16	0.142164011849136
0.65	0.0342704194168395	0.000171352097084198	2.95478593331438e-14	2.99966828179489e-17	8.80160371971149e-08	3.91290895480939e-10	4.81317915505177e-15	0.142631422828172
0.7	0.0343658657895005	0.000171829328947502	1.7940232080874e-13	1.82127390462675e-16	5.21001156942756e-07	2.37638784434638e-09	3.0627664113127e-14	0.143121557454491
0.75	0.0260329605380079	0.000130164802690039	1.11689397752908e-12	1.1338592758101e-15	3.10267573979363e-06	1.47981576374932e-08	2.06286268369417e-13	0.143640952098469
0.8	0.036315498350566	0.00018157749175283	8.00181402348885e-12	8.12335927704825e-15	1.83549430759772e-05	1.06022456213374e-07	2.01278275392832e-12	0.144232781804288
